"","Year","Gender","Age","Mortality","Population"
"1","2020","Person","All",61733,51684500
"2","2019","Person","All",61774,51509300
"3","2018","Person","All",62377,51345300
"4","2017","Person","All",62809,51084100
"5","2016","Person","All",63206,50798600
"6","2015","Person","All",62177,50360500
"7","2014","Person","All",61964,49941800
"8","2013","Person","All",62132,49584200
"9","2012","Person","All",62327,49281700
"10","2011","Person","All",62185,48969700
"11","2010","Person","All",61738,48569300
"12","2009","Person","All",61888,48183900
"13","2008","Person","All",62072,47839700
"14","2007","Person","All",61921,47442600
"15","2006","Person","All",61890,47075000
"16","2005","Person","All",62209,46764200
"17","2004","Person","All",62679,46391500
"18","2003","Person","All",63458,46148900
"19","2020","Female","All",28779,25801600
"20","2020","Female","0 to 4",21,1577200
"21","2020","Female","5 to 9",23,1725100
"22","2020","Female","10 to 14",34,1673700
"23","2020","Female","15 to 19",42,1514400
"24","2020","Female","20 to 24",41,1680800
"25","2020","Female","25 to 29",98,1847100
"26","2020","Female","30 to 34",213,1908200
"27","2020","Female","35 to 39",438,1885200
"28","2020","Female","40 to 44",677,1746000
"29","2020","Female","45 to 49",1252,1835400
"30","2020","Female","50 to 54",2254,1964000
"31","2020","Female","55 to 59",3364,1909200
"32","2020","Female","60 to 64",4707,1628300
"33","2020","Female","65 to 69",6189,1436600
"34","2020","Female","70 to 74",9426,1470200
"35","2019","Female","All",28564,25734700
"36","2019","Female","0 to 4",24,1606400
"37","2019","Female","5 to 9",34,1725700
"38","2019","Female","10 to 14",26,1634800
"39","2019","Female","15 to 19",29,1502500
"40","2019","Female","20 to 24",58,1695100
"41","2019","Female","25 to 29",90,1868300
"42","2019","Female","30 to 34",237,1907400
"43","2019","Female","35 to 39",440,1884500
"44","2019","Female","40 to 44",650,1714100
"45","2019","Female","45 to 49",1305,1876500
"46","2019","Female","50 to 54",2345,1980500
"47","2019","Female","55 to 59",3360,1861000
"48","2019","Female","60 to 64",4547,1584600
"49","2019","Female","65 to 69",6100,1443900
"50","2019","Female","70 to 74",9319,1449200
"51","2018","Female","All",28873,25655200
"52","2018","Female","0 to 4",26,1630500
"53","2018","Female","5 to 9",36,1719900
"54","2018","Female","10 to 14",28,1596300
"55","2018","Female","15 to 19",35,1506700
"56","2018","Female","20 to 24",63,1707000
"57","2018","Female","25 to 29",131,1879900
"58","2018","Female","30 to 34",249,1897900
"59","2018","Female","35 to 39",459,1871600
"60","2018","Female","40 to 44",631,1704100
"61","2018","Female","45 to 49",1405,1919500
"62","2018","Female","50 to 54",2226,1984000
"63","2018","Female","55 to 59",3530,1810000
"64","2018","Female","60 to 64",4551,1551200
"65","2018","Female","65 to 69",6371,1456500
"66","2018","Female","70 to 74",9132,1420100
"67","2017","Female","All",28864,25526400
"68","2017","Female","0 to 4",29,1649400
"69","2017","Female","5 to 9",36,1706900
"70","2017","Female","10 to 14",30,1543600
"71","2017","Female","15 to 19",38,1519100
"72","2017","Female","20 to 24",41,1715700
"73","2017","Female","25 to 29",96,1893300
"74","2017","Female","30 to 34",221,1882500
"75","2017","Female","35 to 39",435,1830200
"76","2017","Female","40 to 44",693,1731400
"77","2017","Female","45 to 49",1348,1946300
"78","2017","Female","50 to 54",2356,1979300
"79","2017","Female","55 to 59",3256,1759600
"80","2017","Female","60 to 64",4556,1520000
"81","2017","Female","65 to 69",6813,1491500
"82","2017","Female","70 to 74",8916,1357500
"83","2016","Female","All",29365,25381100
"84","2016","Female","0 to 4",26,1671400
"85","2016","Female","5 to 9",19,1672600
"86","2016","Female","10 to 14",28,1497800
"87","2016","Female","15 to 19",43,1547600
"88","2016","Female","20 to 24",52,1735900
"89","2016","Female","25 to 29",132,1887400
"90","2016","Female","30 to 34",268,1874700
"91","2016","Female","35 to 39",424,1783200
"92","2016","Female","40 to 44",714,1778800
"93","2016","Female","45 to 49",1392,1963300
"94","2016","Female","50 to 54",2407,1961500
"95","2016","Female","55 to 59",3481,1707200
"96","2016","Female","60 to 64",4573,1494400
"97","2016","Female","65 to 69",7328,1561500
"98","2016","Female","70 to 74",8478,1243800
"99","2015","Female","All",28574,25186400
"100","2015","Female","0 to 4",23,1674300
"101","2015","Female","5 to 9",29,1638600
"102","2015","Female","10 to 14",24,1465100
"103","2015","Female","15 to 19",43,1562800
"104","2015","Female","20 to 24",58,1759800
"105","2015","Female","25 to 29",129,1870600
"106","2015","Female","30 to 34",230,1870100
"107","2015","Female","35 to 39",424,1740300
"108","2015","Female","40 to 44",719,1831300
"109","2015","Female","45 to 49",1430,1967600
"110","2015","Female","50 to 54",2352,1927600
"111","2015","Female","55 to 59",3270,1656700
"112","2015","Female","60 to 64",4627,1482000
"113","2015","Female","65 to 69",7225,1552400
"114","2015","Female","70 to 74",7991,1187400
"115","2014","Female","All",28535,24988100
"116","2014","Female","0 to 4",32,1673200
"117","2014","Female","5 to 9",38,1597200
"118","2014","Female","10 to 14",22,1451600
"119","2014","Female","15 to 19",41,1572200
"120","2014","Female","20 to 24",58,1769100
"121","2014","Female","25 to 29",145,1857200
"122","2014","Female","30 to 34",250,1862900
"123","2014","Female","35 to 39",380,1701200
"124","2014","Female","40 to 44",800,1869000
"125","2014","Female","45 to 49",1431,1983100
"126","2014","Female","50 to 54",2294,1877400
"127","2014","Female","55 to 59",3213,1610400
"128","2014","Female","60 to 64",4753,1487800
"129","2014","Female","65 to 69",7096,1528900
"130","2014","Female","70 to 74",7982,1146800
"131","2013","Female","All",28653,24817500
"132","2013","Female","0 to 4",31,1665300
"133","2013","Female","5 to 9",34,1555900
"134","2013","Female","10 to 14",29,1452700
"135","2013","Female","15 to 19",35,1584100
"136","2013","Female","20 to 24",71,1774400
"137","2013","Female","25 to 29",123,1844700
"138","2013","Female","30 to 34",243,1850300
"139","2013","Female","35 to 39",391,1687700
"140","2013","Female","40 to 44",816,1912300
"141","2013","Female","45 to 49",1425,1986100
"142","2013","Female","50 to 54",2260,1824700
"143","2013","Female","55 to 59",3267,1574600
"144","2013","Female","60 to 64",4862,1499800
"145","2013","Female","65 to 69",7285,1498100
"146","2013","Female","70 to 74",7781,1106900
"147","2012","Female","All",28877,24670200
"148","2012","Female","0 to 4",38,1656400
"149","2012","Female","5 to 9",35,1505100
"150","2012","Female","10 to 14",37,1468000
"151","2012","Female","15 to 19",36,1600700
"152","2012","Female","20 to 24",56,1788200
"153","2012","Female","25 to 29",118,1834000
"154","2012","Female","30 to 34",244,1809200
"155","2012","Female","35 to 39",382,1716100
"156","2012","Female","40 to 44",816,1941300
"157","2012","Female","45 to 49",1562,1982200
"158","2012","Female","50 to 54",2358,1775100
"159","2012","Female","55 to 59",3404,1543800
"160","2012","Female","60 to 64",5148,1536700
"161","2012","Female","65 to 69",6920,1433400
"162","2012","Female","70 to 74",7723,1079900
"163","2011","Female","All",28762,24511700
"164","2011","Female","0 to 4",31,1625000
"165","2011","Female","5 to 9",24,1459600
"166","2011","Female","10 to 14",20,1497100
"167","2011","Female","15 to 19",36,1623200
"168","2011","Female","20 to 24",72,1780700
"169","2011","Female","25 to 29",137,1831300
"170","2011","Female","30 to 34",227,1763900
"171","2011","Female","35 to 39",382,1766700
"172","2011","Female","40 to 44",836,1959600
"173","2011","Female","45 to 49",1489,1966000
"174","2011","Female","50 to 54",2317,1723600
"175","2011","Female","55 to 59",3297,1518700
"176","2011","Female","60 to 64",5522,1610300
"177","2011","Female","65 to 69",6717,1315000
"178","2011","Female","70 to 74",7655,1071000
"179","2010","Female","All",28339,24325800
"180","2010","Female","0 to 4",40,1601400
"181","2010","Female","5 to 9",31,1433900
"182","2010","Female","10 to 14",38,1516100
"183","2010","Female","15 to 19",52,1633900
"184","2010","Female","20 to 24",54,1752000
"185","2010","Female","25 to 29",116,1820800
"186","2010","Female","30 to 34",198,1717300
"187","2010","Female","35 to 39",431,1826300
"188","2010","Female","40 to 44",879,1967800
"189","2010","Female","45 to 49",1458,1935500
"190","2010","Female","50 to 54",2234,1672200
"191","2010","Female","55 to 59",3378,1508700
"192","2010","Female","60 to 64",5459,1604000
"193","2010","Female","65 to 69",6189,1257400
"194","2010","Female","70 to 74",7782,1078500
"195","2009","Female","All",28421,24144000
"196","2009","Female","0 to 4",35,1569200
"197","2009","Female","5 to 9",32,1421300
"198","2009","Female","10 to 14",37,1525800
"199","2009","Female","15 to 19",39,1644300
"200","2009","Female","20 to 24",64,1739500
"201","2009","Female","25 to 29",100,1803100
"202","2009","Female","30 to 34",196,1678400
"203","2009","Female","35 to 39",421,1866500
"204","2009","Female","40 to 44",881,1986900
"205","2009","Female","45 to 49",1446,1889800
"206","2009","Female","50 to 54",2252,1629800
"207","2009","Female","55 to 59",3473,1518100
"208","2009","Female","60 to 64",5407,1584000
"209","2009","Female","65 to 69",6190,1217200
"210","2009","Female","70 to 74",7848,1070100
"211","2008","Female","All",28693,23969800
"212","2008","Female","0 to 4",30,1534400
"213","2008","Female","5 to 9",31,1421600
"214","2008","Female","10 to 14",26,1537700
"215","2008","Female","15 to 19",37,1636700
"216","2008","Female","20 to 24",57,1734300
"217","2008","Female","25 to 29",124,1781800
"218","2008","Female","30 to 34",214,1668600
"219","2008","Female","35 to 39",466,1906100
"220","2008","Female","40 to 44",953,1991400
"221","2008","Female","45 to 49",1495,1840000
"222","2008","Female","50 to 54",2277,1596800
"223","2008","Female","55 to 59",3509,1533600
"224","2008","Female","60 to 64",5554,1554400
"225","2008","Female","65 to 69",6222,1179500
"226","2008","Female","70 to 74",7698,1052900
"227","2007","Female","All",28635,23777100
"228","2007","Female","0 to 4",33,1487300
"229","2007","Female","5 to 9",26,1435300
"230","2007","Female","10 to 14",41,1545300
"231","2007","Female","15 to 19",56,1633700
"232","2007","Female","20 to 24",79,1703400
"233","2007","Female","25 to 29",121,1736500
"234","2007","Female","30 to 34",210,1687900
"235","2007","Female","35 to 39",500,1934900
"236","2007","Female","40 to 44",940,1996400
"237","2007","Female","45 to 49",1520,1790200
"238","2007","Female","50 to 54",2264,1566400
"239","2007","Female","55 to 59",3739,1581200
"240","2007","Female","60 to 64",5404,1487800
"241","2007","Female","65 to 69",6089,1153500
"242","2007","Female","70 to 74",7613,1037400
"243","2006","Female","All",28365,23598400
"244","2006","Female","0 to 4",40,1446000
"245","2006","Female","5 to 9",28,1459200
"246","2006","Female","10 to 14",28,1552600
"247","2006","Female","15 to 19",47,1615600
"248","2006","Female","20 to 24",53,1676500
"249","2006","Female","25 to 29",101,1678300
"250","2006","Female","30 to 34",212,1742800
"251","2006","Female","35 to 39",512,1953200
"252","2006","Female","40 to 44",910,1975000
"253","2006","Female","45 to 49",1458,1740200
"254","2006","Female","50 to 54",2264,1546900
"255","2006","Female","55 to 59",4023,1654400
"256","2006","Female","60 to 64",4987,1374200
"257","2006","Female","65 to 69",6147,1151100
"258","2006","Female","70 to 74",7555,1032500
"259","2005","Female","All",28670,23445200
"260","2005","Female","0 to 4",25,1418600
"261","2005","Female","5 to 9",32,1478900
"262","2005","Female","10 to 14",41,1568400
"263","2005","Female","15 to 19",52,1603300
"264","2005","Female","20 to 24",68,1639200
"265","2005","Female","25 to 29",101,1630900
"266","2005","Female","30 to 34",240,1790500
"267","2005","Female","35 to 39",504,1964000
"268","2005","Female","40 to 44",943,1946400
"269","2005","Female","45 to 49",1445,1693500
"270","2005","Female","50 to 54",2355,1539600
"271","2005","Female","55 to 59",4073,1652200
"272","2005","Female","60 to 64",4777,1318000
"273","2005","Female","65 to 69",6282,1164700
"274","2005","Female","70 to 74",7732,1037100
"275","2004","Female","All",28830,23257200
"276","2004","Female","0 to 4",28,1401300
"277","2004","Female","5 to 9",31,1493000
"278","2004","Female","10 to 14",38,1579900
"279","2004","Female","15 to 19",54,1580500
"280","2004","Female","20 to 24",76,1594200
"281","2004","Female","25 to 29",112,1578800
"282","2004","Female","30 to 34",261,1823100
"283","2004","Female","35 to 39",515,1985400
"284","2004","Female","40 to 44",921,1898800
"285","2004","Female","45 to 49",1468,1651700
"286","2004","Female","50 to 54",2384,1552000
"287","2004","Female","55 to 59",4000,1637900
"288","2004","Female","60 to 64",4769,1280100
"289","2004","Female","65 to 69",6260,1156800
"290","2004","Female","70 to 74",7913,1043700
"291","2003","Female","All",28923,23136900
"292","2003","Female","0 to 4",39,1399200
"293","2003","Female","5 to 9",38,1502600
"294","2003","Female","10 to 14",46,1587800
"295","2003","Female","15 to 19",65,1551300
"296","2003","Female","20 to 24",73,1563500
"297","2003","Female","25 to 29",114,1568300
"298","2003","Female","30 to 34",271,1875400
"299","2003","Female","35 to 39",494,1991200
"300","2003","Female","40 to 44",896,1849600
"301","2003","Female","45 to 49",1500,1622600
"302","2003","Female","50 to 54",2528,1574400
"303","2003","Female","55 to 59",3881,1609800
"304","2003","Female","60 to 64",4685,1246400
"305","2003","Female","65 to 69",6075,1140600
"306","2003","Female","70 to 74",8218,1054100
"307","2020","Male","All",32954,25883000
"308","2020","Male","0 to 4",37,1662300
"309","2020","Male","5 to 9",40,1814400
"310","2020","Male","10 to 14",35,1761900
"311","2020","Male","15 to 19",44,1601500
"312","2020","Male","20 to 24",54,1791700
"313","2020","Male","25 to 29",87,1924400
"314","2020","Male","30 to 34",172,1916400
"315","2020","Male","35 to 39",286,1853000
"316","2020","Male","40 to 44",517,1730300
"317","2020","Male","45 to 49",1009,1803200
"318","2020","Male","50 to 54",2091,1911300
"319","2020","Male","55 to 59",3641,1852600
"320","2020","Male","60 to 64",5329,1568500
"321","2020","Male","65 to 69",7848,1347700
"322","2020","Male","70 to 74",11764,1343900
"323","2019","Male","All",33210,25774600
"324","2019","Male","0 to 4",33,1693200
"325","2019","Male","5 to 9",42,1812500
"326","2019","Male","10 to 14",47,1719500
"327","2019","Male","15 to 19",34,1587700
"328","2019","Male","20 to 24",75,1792700
"329","2019","Male","25 to 29",112,1933100
"330","2019","Male","30 to 34",197,1900600
"331","2019","Male","35 to 39",334,1849100
"332","2019","Male","40 to 44",487,1700200
"333","2019","Male","45 to 49",996,1839300
"334","2019","Male","50 to 54",2118,1926900
"335","2019","Male","55 to 59",3541,1809600
"336","2019","Male","60 to 64",5378,1527200
"337","2019","Male","65 to 69",8033,1352800
"338","2019","Male","70 to 74",11783,1330200
"339","2018","Male","All",33504,25690100
"340","2018","Male","0 to 4",32,1716300
"341","2018","Male","5 to 9",41,1803900
"342","2018","Male","10 to 14",42,1677800
"343","2018","Male","15 to 19",59,1589900
"344","2018","Male","20 to 24",83,1805700
"345","2018","Male","25 to 29",96,1936000
"346","2018","Male","30 to 34",166,1889700
"347","2018","Male","35 to 39",335,1845900
"348","2018","Male","40 to 44",480,1686500
"349","2018","Male","45 to 49",1091,1879700
"350","2018","Male","50 to 54",2186,1931400
"351","2018","Male","55 to 59",3604,1763400
"352","2018","Male","60 to 64",5352,1493200
"353","2018","Male","65 to 69",8312,1366100
"354","2018","Male","70 to 74",11625,1304700
"355","2017","Male","All",33945,25557700
"356","2017","Male","0 to 4",42,1735500
"357","2017","Male","5 to 9",49,1790500
"358","2017","Male","10 to 14",27,1622400
"359","2017","Male","15 to 19",57,1601700
"360","2017","Male","20 to 24",60,1810400
"361","2017","Male","25 to 29",112,1938300
"362","2017","Male","30 to 34",161,1874900
"363","2017","Male","35 to 39",315,1812500
"364","2017","Male","40 to 44",544,1711400
"365","2017","Male","45 to 49",1126,1903800
"366","2017","Male","50 to 54",2194,1927900
"367","2017","Male","55 to 59",3560,1719500
"368","2017","Male","60 to 64",5549,1462900
"369","2017","Male","65 to 69",8617,1399100
"370","2017","Male","70 to 74",11532,1247000
"371","2016","Male","All",33841,25417500
"372","2016","Male","0 to 4",32,1757600
"373","2016","Male","5 to 9",34,1755700
"374","2016","Male","10 to 14",36,1572400
"375","2016","Male","15 to 19",55,1631800
"376","2016","Male","20 to 24",86,1824100
"377","2016","Male","25 to 29",109,1924200
"378","2016","Male","30 to 34",190,1874900
"379","2016","Male","35 to 39",278,1773800
"380","2016","Male","40 to 44",525,1756400
"381","2016","Male","45 to 49",1128,1919800
"382","2016","Male","50 to 54",2188,1911600
"383","2016","Male","55 to 59",3568,1670400
"384","2016","Male","60 to 64",5579,1436600
"385","2016","Male","65 to 69",9281,1470600
"386","2016","Male","70 to 74",10752,1137400
"387","2015","Male","All",33603,25174100
"388","2015","Male","0 to 4",33,1760400
"389","2015","Male","5 to 9",39,1718900
"390","2015","Male","10 to 14",35,1535200
"391","2015","Male","15 to 19",61,1650500
"392","2015","Male","20 to 24",73,1832500
"393","2015","Male","25 to 29",110,1887400
"394","2015","Male","30 to 34",172,1857900
"395","2015","Male","35 to 39",297,1730600
"396","2015","Male","40 to 44",515,1805100
"397","2015","Male","45 to 49",1099,1921800
"398","2015","Male","50 to 54",2124,1883400
"399","2015","Male","55 to 59",3566,1621700
"400","2015","Male","60 to 64",5683,1422700
"401","2015","Male","65 to 69",9238,1464800
"402","2015","Male","70 to 74",10558,1081200
"403","2014","Male","All",33429,24953700
"404","2014","Male","0 to 4",34,1757700
"405","2014","Male","5 to 9",45,1675100
"406","2014","Male","10 to 14",33,1521500
"407","2014","Male","15 to 19",60,1658800
"408","2014","Male","20 to 24",83,1837400
"409","2014","Male","25 to 29",112,1861200
"410","2014","Male","30 to 34",175,1844300
"411","2014","Male","35 to 39",263,1694800
"412","2014","Male","40 to 44",556,1838400
"413","2014","Male","45 to 49",1152,1935200
"414","2014","Male","50 to 54",2111,1839800
"415","2014","Male","55 to 59",3557,1576100
"416","2014","Male","60 to 64",5781,1426100
"417","2014","Male","65 to 69",9193,1446600
"418","2014","Male","70 to 74",10274,1040600
"419","2013","Male","All",33479,24766700
"420","2013","Male","0 to 4",48,1748800
"421","2013","Male","5 to 9",36,1632000
"422","2013","Male","10 to 14",31,1523700
"423","2013","Male","15 to 19",44,1670700
"424","2013","Male","20 to 24",65,1829400
"425","2013","Male","25 to 29",117,1840600
"426","2013","Male","30 to 34",181,1831800
"427","2013","Male","35 to 39",271,1681400
"428","2013","Male","40 to 44",561,1877600
"429","2013","Male","45 to 49",1189,1939700
"430","2013","Male","50 to 54",2102,1792800
"431","2013","Male","55 to 59",3493,1539600
"432","2013","Male","60 to 64",6036,1440000
"433","2013","Male","65 to 69",9110,1419700
"434","2013","Male","70 to 74",10195,998900
"435","2012","Male","All",33450,24611500
"436","2012","Male","0 to 4",35,1736900
"437","2012","Male","5 to 9",40,1578500
"438","2012","Male","10 to 14",33,1539800
"439","2012","Male","15 to 19",53,1685600
"440","2012","Male","20 to 24",77,1833400
"441","2012","Male","25 to 29",114,1825600
"442","2012","Male","30 to 34",171,1798000
"443","2012","Male","35 to 39",260,1707200
"444","2012","Male","40 to 44",564,1901400
"445","2012","Male","45 to 49",1184,1939400
"446","2012","Male","50 to 54",2068,1748400
"447","2012","Male","55 to 59",3610,1509900
"448","2012","Male","60 to 64",6241,1476200
"449","2012","Male","65 to 69",8879,1358600
"450","2012","Male","70 to 74",10121,972600
"451","2011","Male","All",33423,24457900
"452","2011","Male","0 to 4",32,1703700
"453","2011","Male","5 to 9",51,1530500
"454","2011","Male","10 to 14",42,1570300
"455","2011","Male","15 to 19",57,1701100
"456","2011","Male","20 to 24",89,1815500
"457","2011","Male","25 to 29",113,1825900
"458","2011","Male","30 to 34",169,1765300
"459","2011","Male","35 to 39",298,1755700
"460","2011","Male","40 to 44",579,1921900
"461","2011","Male","45 to 49",1144,1926100
"462","2011","Male","50 to 54",2066,1699000
"463","2011","Male","55 to 59",3678,1484800
"464","2011","Male","60 to 64",6382,1552000
"465","2011","Male","65 to 69",8437,1242600
"466","2011","Male","70 to 74",10286,963600
"467","2010","Male","All",33399,24243500
"468","2010","Male","0 to 4",37,1679100
"469","2010","Male","5 to 9",30,1500400
"470","2010","Male","10 to 14",38,1593100
"471","2010","Male","15 to 19",63,1709200
"472","2010","Male","20 to 24",64,1763500
"473","2010","Male","25 to 29",126,1802800
"474","2010","Male","30 to 34",174,1721700
"475","2010","Male","35 to 39",322,1805600
"476","2010","Male","40 to 44",615,1936700
"477","2010","Male","45 to 49",1186,1901400
"478","2010","Male","50 to 54",2125,1653800
"479","2010","Male","55 to 59",3658,1474000
"480","2010","Male","60 to 64",6523,1547600
"481","2010","Male","65 to 69",8129,1185200
"482","2010","Male","70 to 74",10309,969400
"483","2009","Male","All",33467,24039900
"484","2009","Male","0 to 4",27,1642700
"485","2009","Male","5 to 9",36,1490400
"486","2009","Male","10 to 14",31,1603000
"487","2009","Male","15 to 19",79,1710700
"488","2009","Male","20 to 24",98,1726500
"489","2009","Male","25 to 29",113,1792600
"490","2009","Male","30 to 34",167,1689800
"491","2009","Male","35 to 39",311,1843800
"492","2009","Male","40 to 44",669,1961100
"493","2009","Male","45 to 49",1174,1857100
"494","2009","Male","50 to 54",2033,1612500
"495","2009","Male","55 to 59",3749,1480300
"496","2009","Male","60 to 64",6629,1528800
"497","2009","Male","65 to 69",8150,1142100
"498","2009","Male","70 to 74",10201,958400
"499","2008","Male","All",33379,23869900
"500","2008","Male","0 to 4",27,1608300
"501","2008","Male","5 to 9",47,1490400
"502","2008","Male","10 to 14",28,1613000
"503","2008","Male","15 to 19",55,1700500
"504","2008","Male","20 to 24",98,1731100
"505","2008","Male","25 to 29",123,1782200
"506","2008","Male","30 to 34",162,1666300
"507","2008","Male","35 to 39",334,1888500
"508","2008","Male","40 to 44",589,1964000
"509","2008","Male","45 to 49",1194,1810600
"510","2008","Male","50 to 54",2016,1576500
"511","2008","Male","55 to 59",3834,1496100
"512","2008","Male","60 to 64",6554,1500800
"513","2008","Male","65 to 69",8061,1102400
"514","2008","Male","70 to 74",10257,939100
"515","2007","Male","All",33286,23665400
"516","2007","Male","0 to 4",44,1561800
"517","2007","Male","5 to 9",48,1502200
"518","2007","Male","10 to 14",34,1622200
"519","2007","Male","15 to 19",74,1698900
"520","2007","Male","20 to 24",86,1715700
"521","2007","Male","25 to 29",121,1722600
"522","2007","Male","30 to 34",182,1681700
"523","2007","Male","35 to 39",314,1917400
"524","2007","Male","40 to 44",691,1961700
"525","2007","Male","45 to 49",1127,1767800
"526","2007","Male","50 to 54",2071,1541800
"527","2007","Male","55 to 59",4074,1539900
"528","2007","Male","60 to 64",6394,1436100
"529","2007","Male","65 to 69",8107,1076900
"530","2007","Male","70 to 74",9919,918900
"531","2006","Male","All",33525,23476600
"532","2006","Male","0 to 4",45,1517100
"533","2006","Male","5 to 9",37,1527900
"534","2006","Male","10 to 14",66,1629400
"535","2006","Male","15 to 19",83,1675400
"536","2006","Male","20 to 24",90,1678800
"537","2006","Male","25 to 29",130,1666300
"538","2006","Male","30 to 34",229,1728100
"539","2006","Male","35 to 39",349,1936200
"540","2006","Male","40 to 44",649,1942800
"541","2006","Male","45 to 49",1157,1727700
"542","2006","Male","50 to 54",2131,1520100
"543","2006","Male","55 to 59",4312,1617900
"544","2006","Male","60 to 64",6147,1328100
"545","2006","Male","65 to 69",8082,1073900
"546","2006","Male","70 to 74",10018,906700
"547","2005","Male","All",33539,23319000
"548","2005","Male","0 to 4",45,1489400
"549","2005","Male","5 to 9",47,1551800
"550","2005","Male","10 to 14",34,1648600
"551","2005","Male","15 to 19",58,1644900
"552","2005","Male","20 to 24",92,1654500
"553","2005","Male","25 to 29",100,1617300
"554","2005","Male","30 to 34",165,1777800
"555","2005","Male","35 to 39",346,1951000
"556","2005","Male","40 to 44",636,1917500
"557","2005","Male","45 to 49",1202,1677800
"558","2005","Male","50 to 54",2111,1514200
"559","2005","Male","55 to 59",4267,1617900
"560","2005","Male","60 to 64",5948,1271700
"561","2005","Male","65 to 69",8068,1083800
"562","2005","Male","70 to 74",10420,900600
"563","2004","Male","All",33849,23134300
"564","2004","Male","0 to 4",43,1474700
"565","2004","Male","5 to 9",46,1566900
"566","2004","Male","10 to 14",45,1659300
"567","2004","Male","15 to 19",78,1638000
"568","2004","Male","20 to 24",98,1612400
"569","2004","Male","25 to 29",114,1574500
"570","2004","Male","30 to 34",190,1812500
"571","2004","Male","35 to 39",364,1962900
"572","2004","Male","40 to 44",635,1869400
"573","2004","Male","45 to 49",1137,1634400
"574","2004","Male","50 to 54",2277,1521400
"575","2004","Male","55 to 59",4198,1604200
"576","2004","Male","60 to 64",5879,1231400
"577","2004","Male","65 to 69",8216,1076500
"578","2004","Male","70 to 74",10529,895600
"579","2003","Male","All",34535,23012000
"580","2003","Male","0 to 4",42,1468000
"581","2003","Male","5 to 9",43,1578200
"582","2003","Male","10 to 14",54,1662700
"583","2003","Male","15 to 19",75,1624400
"584","2003","Male","20 to 24",92,1561800
"585","2003","Male","25 to 29",84,1576000
"586","2003","Male","30 to 34",215,1857200
"587","2003","Male","35 to 39",358,1976200
"588","2003","Male","40 to 44",687,1829600
"589","2003","Male","45 to 49",1192,1598800
"590","2003","Male","50 to 54",2281,1545800
"591","2003","Male","55 to 59",4481,1577800
"592","2003","Male","60 to 64",5941,1197600
"593","2003","Male","65 to 69",8309,1061900
"594","2003","Male","70 to 74",10681,895900
"595","2020","Person","All",5769,4431200
"596","2020","Person","All",6167,5678600
"597","2020","Person","All",6676,8502600
"598","2020","Person","All",3669,2439800
"599","2020","Person","All",9155,6735700
"600","2020","Person","All",9258,8354000
"601","2020","Person","All",5439,5059000
"602","2020","Person","All",6824,5434500
"603","2020","Person","All",6668,5049100
"604","2019","Person","All",5737,4411300
"605","2019","Person","All",6374,5657800
"606","2019","Person","All",6755,8466900
"607","2019","Person","All",3759,2432100
"608","2019","Person","All",9188,6716300
"609","2019","Person","All",9818,8335400
"610","2019","Person","All",5781,5040600
"611","2019","Person","All",6687,5415300
"612","2019","Person","All",6509,5033700
"613","2018","Person","All",5805,4395200
"614","2018","Person","All",6868,5641100
"615","2018","Person","All",6755,8424300
"616","2018","Person","All",3633,2426300
"617","2018","Person","All",9162,6684300
"618","2018","Person","All",9918,8316500
"619","2018","Person","All",6651,5035200
"620","2018","Person","All",6910,5399000
"621","2018","Person","All",6675,5023300
"622","2017","Person","All",5762,4373100
"623","2017","Person","All",7028,5620600
"624","2017","Person","All",6716,8349500
"625","2017","Person","All",3726,2415600
"626","2017","Person","All",9208,6661600
"627","2017","Person","All",10010,8283500
"628","2017","Person","All",6757,5008300
"629","2017","Person","All",6871,5370200
"630","2017","Person","All",6731,5001800
"631","2016","Person","All",5747,4333200
"632","2016","Person","All",7021,5589200
"633","2016","Person","All",6731,8300400
"634","2016","Person","All",3823,2409400
"635","2016","Person","All",9422,6634300
"636","2016","Person","All",9848,8246100
"637","2016","Person","All",6926,4975500
"638","2016","Person","All",6969,5328600
"639","2016","Person","All",6719,4981800
"640","2015","Person","All",5769,4289500
"641","2015","Person","All",6827,5541600
"642","2015","Person","All",6794,8208700
"643","2015","Person","All",3648,2399000
"644","2015","Person","All",9276,6590500
"645","2015","Person","All",9925,8171900
"646","2015","Person","All",6536,4934700
"647","2015","Person","All",6765,5274400
"648","2015","Person","All",6637,4950200
"649","2014","Person","All",5514,4254700
"650","2014","Person","All",6817,5489800
"651","2014","Person","All",6703,8079600
"652","2014","Person","All",3899,2394800
"653","2014","Person","All",9287,6556400
"654","2014","Person","All",9581,8107500
"655","2014","Person","All",6458,4892400
"656","2014","Person","All",6965,5242300
"657","2014","Person","All",6740,4924300
"658","2013","Person","All",5554,4224300
"659","2013","Person","All",6955,5437900
